buf_size,batch,epoch,max_ep,eps,gamma,C,train_freq,eval_freq,opt,lr,n,units1,activations1,units2,activations2,units3,activations3,units4,activations4
5000,32,5,3000,0.5,0.9,100,20,300,Adam,0.01,2,5,relu,2,tanh,,,,
5000,32,5,3000,0.5,0.9,100,20,300,Adam,0.005,2,10,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,Adam,0.005,2,100,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,Adam,0.005,2,200,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,50,10,300,Adam,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,Adam,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,Adam,0.0005,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,Adam,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,10,300,Adam,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,Adam,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,Adam,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,20,1,300,Adam,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,Adam,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,Adam,0.0001,4,100,relu,100,relu,100,relu,2,tanh
5000,256,5,3000,0.5,0.9,100,1,300,Adam,0.0001,4,120,relu,120,relu,120,relu,2,tanh
5000,32,5,3000,0.5,0.9,100,20,300,rmsprop,0.01,2,5,relu,2,tanh,,,,
5000,32,5,3000,0.5,0.9,100,20,300,rmsprop,0.005,2,10,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,rmsprop,0.005,2,100,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,rmsprop,0.005,2,200,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,50,10,300,rmsprop,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,rmsprop,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,rmsprop,0.0005,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,rmsprop,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,10,300,rmsprop,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,rmsprop,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,rmsprop,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,20,1,300,rmsprop,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,rmsprop,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,rmsprop,0.0001,4,100,relu,100,relu,100,relu,2,tanh
5000,256,5,3000,0.5,0.9,100,1,300,rmsprop,0.0001,4,120,relu,120,relu,120,relu,2,tanh
5000,32,5,3000,0.5,0.9,100,20,300,sgd,0.01,2,5,relu,2,tanh,,,,
5000,32,5,3000,0.5,0.9,100,20,300,sgd,0.005,2,10,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,sgd,0.005,2,100,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,100,20,300,sgd,0.005,2,200,relu,2,tanh,,,,
5000,64,5,3000,0.5,0.9,50,10,300,sgd,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,sgd,0.001,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,sgd,0.0005,2,200,relu,2,tanh,,,,
5000,128,5,3000,0.5,0.9,50,10,300,sgd,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,10,300,sgd,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,sgd,0.0005,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,50,5,300,sgd,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,20,1,300,sgd,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,sgd,0.0001,3,100,relu,100,relu,2,tanh,,
5000,256,5,3000,0.5,0.9,100,1,300,sgd,0.0001,4,100,relu,100,relu,100,relu,2,tanh
5000,256,5,3000,0.5,0.9,100,1,300,sgd,0.0001,4,120,relu,120,relu,120,relu,2,tanh
